"Time","Position","Velocity","Acceleration"
0.05,0.226,-0.015,-1.207
0.10,0.230,-0.101,-0.533
0.15,0.213,-0.113,0.340
0.20,0.213,-0.036,0.689
0.25,0.213,-0.010,0.426
0.30,0.213,0.000,0.178
0.35,0.213,0.000,0.042
0.40,0.213,0.001,0.005
0.45,0.213,0.001,-0.015
0.50,0.213,-0.001,-0.025
0.55,0.213,-0.003,-0.014
0.60,0.213,-0.003,0.007
0.65,0.213,-0.001,0.016
0.70,0.213,0.000,0.011
0.75,0.213,-0.001,0.016
0.80,0.213,0.001,0.022
0.85,0.213,0.003,0.009
0.90,0.213,0.002,-0.013
0.95,0.213,0.000,-0.021
1.00,0.213,-0.001,-0.001
1.05,0.213,0.000,0.030
1.10,0.213,0.001,0.108
1.15,0.213,0.008,0.212
1.20,0.213,0.021,0.270
1.25,0.213,0.063,-0.117
1.30,0.226,0.009,-0.498
1.35,0.213,-0.041,-0.010
1.40,0.213,0.041,-0.050
1.45,0.226,-0.006,-0.828
1.50,0.213,-0.076,-1.161
1.55,0.213,-0.088,-1.829
1.60,0.216,-0.287,-1.518
1.65,0.183,-0.408,1.729
1.70,0.154,-0.149,5.293
1.75,0.155,0.356,4.540
1.80,0.213,0.462,0.668
1.85,0.213,0.314,-1.590
1.90,0.238,0.221,-2.163
1.95,0.239,0.066,-1.754
2.00,0.240,0.023,-0.824
2.05,0.240,0.006,-0.300
2.10,0.240,0.012,-0.137
2.15,0.242,-0.001,-0.159
2.20,0.240,-0.013,-0.047
2.25,0.239,-0.006,0.061
2.30,0.239,-0.001,0.058
2.35,0.240,0.001,0.016
2.40,0.240,0.000,-0.020
2.45,0.240,-0.002,-0.021
2.50,0.239,-0.003,0.007
2.55,0.239,-0.001,0.021
2.60,0.239,0.000,0.006
2.65,0.239,0.000,-0.010
2.70,0.239,-0.001,-0.012
2.75,0.239,-0.002,-0.004
2.80,0.239,-0.002,0.005
2.85,0.239,-0.001,0.011
2.90,0.239,0.000,0.003
2.95,0.239,-0.001,-0.003
3.00,0.239,-0.001,0.002
3.05,0.239,-0.001,0.007
3.10,0.239,0.000,0.011
3.15,0.239,0.001,0.005
3.20,0.239,0.001,-0.009
3.25,0.239,-0.001,-0.008
3.30,0.239,-0.001,0.005
3.35,0.239,0.000,0.004
3.40,0.239,0.001,-0.013
3.45,0.239,-0.001,-0.023
3.50,0.239,-0.004,0.003
3.55,0.238,-0.002,0.037
3.60,0.238,0.002,0.031
3.65,0.239,0.003,-0.010
3.70,0.239,0.000,-0.034
3.75,0.239,-0.002,-0.015
3.80,0.239,-0.002,0.014
3.85,0.239,0.000,0.026
3.90,0.239,0.002,0.016
3.95,0.239,0.002,-0.006
4.00,0.239,0.001,-0.014
4.05,0.239,0.000,-0.004
4.10,0.239,0.000,0.005
4.15,0.239,0.001,0.009
4.20,0.239,0.001,0.010
4.25,0.239,0.003,-0.007
4.30,0.239,0.001,-0.023
4.35,0.239,-0.001,-0.012
4.40,0.239,-0.001,0.002
4.45,0.239,0.000,0.007
4.50,0.239,0.000,0.010
4.55,0.239,0.001,0.002
4.60,0.239,0.000,-0.007
4.65,0.239,0.000,-0.017
4.70,0.239,-0.001,-0.024
4.75,0.239,-0.004,0.001
4.80,0.239,-0.002,0.035
4.85,0.239,0.001,0.038
4.90,0.239,0.003,0.020
4.95,0.239,0.003,0.003
5.00,0.239,0.003,-0.008
