"Time","Position","Velocity","Acceleration"
0.05,0.280,0.042,-0.462
0.10,0.284,0.011,-0.279
0.15,0.281,0.003,-0.058
0.20,0.283,0.014,0.028
0.25,0.283,0.009,0.069
0.30,0.284,0.015,0.170
0.35,0.284,0.031,0.144
0.40,0.287,0.042,-0.112
0.45,0.290,0.023,-0.412
0.50,0.290,-0.014,-0.445
0.55,0.287,-0.029,-0.300
0.60,0.287,-0.040,-0.160
0.65,0.284,-0.053,0.114
0.70,0.280,-0.032,0.428
0.75,0.280,-0.001,0.558
0.80,0.280,0.032,0.491
0.85,0.283,0.059,0.195
0.90,0.287,0.056,-0.181
0.95,0.290,0.031,-0.359
1.00,0.290,0.007,-0.280
1.05,0.290,0.001,-0.132
1.10,0.290,-0.002,-0.040
1.15,0.290,-0.001,0.005
1.20,0.290,0.000,0.006
1.25,0.290,-0.002,0.021
1.30,0.290,0.000,0.064
1.35,0.290,0.007,0.002
1.40,0.290,0.013,-0.437
1.45,0.291,-0.006,-1.523
1.50,0.293,-0.101,-3.154
1.55,0.291,-0.368,-3.735
1.60,0.253,-0.590,-2.006
1.65,0.221,-0.599,0.674
1.70,0.192,-0.525,3.731
1.75,0.163,-0.264,7.050
1.80,0.153,0.216,8.755
1.85,0.168,0.912,4.758
1.90,0.284,0.897,-2.832
1.95,0.288,0.312,-4.949
2.00,0.284,0.183,-2.773
2.05,0.303,0.136,-1.615
2.10,0.303,0.058,-1.073
2.15,0.306,0.024,-0.722
2.20,0.306,-0.013,-0.404
2.25,0.303,-0.020,-0.039
2.30,0.303,-0.008,0.132
2.35,0.303,0.000,0.142
2.40,0.303,0.007,0.093
2.45,0.303,0.015,-0.042
2.50,0.305,0.002,-0.151
2.55,0.303,-0.011,-0.077
2.60,0.303,-0.005,0.006
2.65,0.303,-0.005,0.009
2.70,0.303,-0.005,0.009
2.75,0.303,-0.005,0.019
2.80,0.302,-0.002,0.023
2.85,0.303,-0.002,0.010
2.90,0.302,-0.003,0.021
2.95,0.302,0.000,0.026
3.00,0.302,0.000,0.017
3.05,0.302,0.002,0.013
3.10,0.302,0.003,-0.005
3.15,0.302,0.001,-0.018
3.20,0.302,0.001,-0.041
3.25,0.303,-0.002,-0.110
3.30,0.302,-0.008,-0.208
3.35,0.302,-0.018,-0.358
3.40,0.302,-0.056,-0.289
3.45,0.295,-0.060,0.023
3.50,0.295,-0.041,0.141
3.55,0.292,-0.038,0.108
3.60,0.291,-0.035,0.130
3.65,0.288,-0.029,0.222
3.70,0.287,-0.008,0.234
3.75,0.288,0.000,0.157
3.80,0.288,0.002,0.174
3.85,0.288,0.009,0.336
3.90,0.288,0.036,0.473
3.95,0.291,0.067,0.362
4.00,0.295,0.090,-0.096
4.05,0.302,0.062,-0.634
4.10,0.302,0.007,-0.788
4.15,0.302,-0.032,-0.599
4.20,0.299,-0.059,-0.246
4.25,0.295,-0.058,0.142
4.30,0.292,-0.036,0.347
4.35,0.291,-0.011,0.288
4.40,0.292,-0.003,0.124
4.45,0.291,-0.003,0.029
4.50,0.291,-0.004,0.006
4.55,0.291,-0.003,-0.004
4.60,0.291,-0.001,-0.057
4.65,0.291,-0.007,-0.094
4.70,0.291,-0.022,0.114
4.75,0.288,-0.011,0.556
4.80,0.287,0.041,0.805
4.85,0.291,0.106,0.381
4.90,0.302,0.095,-0.334
4.95,0.303,0.043,-0.596
5.00,0.303,0.018,-0.595
