"Time","Position","Velocity","Acceleration"
0.05,0.276,0.011,-0.018
0.10,0.277,0.008,0.031
0.15,0.277,0.009,0.100
0.20,0.277,0.023,0.096
0.25,0.280,0.027,-0.040
0.30,0.281,0.016,-0.137
0.35,0.281,0.007,-0.138
0.40,0.281,0.002,-0.156
0.45,0.281,-0.001,-0.391
0.50,0.281,-0.018,-1.118
0.55,0.280,-0.076,-2.504
0.60,0.280,-0.261,-3.735
0.65,0.260,-0.549,-2.740
0.70,0.218,-0.679,1.350
0.75,0.180,-0.484,6.564
0.80,0.153,0.038,9.698
0.85,0.162,0.875,5.459
0.90,0.290,0.831,-3.148
0.95,0.280,0.147,-4.745
1.00,0.261,0.120,-1.734
1.05,0.290,0.156,-1.034
1.10,0.289,0.051,-1.012
1.15,0.289,0.013,-0.625
1.20,0.289,-0.004,-0.296
1.25,0.289,-0.012,-0.046
1.30,0.287,-0.003,0.035
1.35,0.289,0.005,-0.109
1.40,0.289,-0.018,-0.174
1.45,0.287,-0.031,0.069
1.50,0.284,-0.007,0.241
1.55,0.287,0.011,0.087
1.60,0.287,0.003,-0.110
1.65,0.287,-0.006,-0.199
1.70,0.286,-0.023,-0.145
1.75,0.284,-0.026,0.046
1.80,0.284,-0.022,0.290
1.85,0.280,0.006,0.446
1.90,0.284,0.041,0.262
1.95,0.287,0.036,-0.012
2.00,0.287,0.030,-0.121
2.05,0.289,0.022,-0.177
2.10,0.290,0.010,-0.165
2.15,0.290,0.004,-0.115
2.20,0.290,0.000,-0.092
2.25,0.290,-0.003,-0.106
2.30,0.290,-0.010,-0.128
2.35,0.289,-0.021,-0.072
2.40,0.287,-0.019,0.008
2.45,0.287,-0.013,-0.028
2.50,0.287,-0.024,-0.031
2.55,0.284,-0.023,0.072
2.60,0.284,-0.011,0.102
2.65,0.284,-0.011,0.119
2.70,0.283,-0.011,0.307
2.75,0.280,0.026,0.373
2.80,0.286,0.046,0.072
2.85,0.287,0.031,-0.219
2.90,0.289,0.016,-0.343
2.95,0.289,-0.013,-0.260
3.00,0.287,-0.017,-0.045
3.05,0.287,-0.007,0.001
3.10,0.287,-0.009,-0.087
3.15,0.287,-0.023,-0.064
3.20,0.284,-0.023,0.087
3.25,0.284,-0.009,0.156
3.30,0.283,-0.002,0.131
3.35,0.283,0.003,0.098
3.40,0.283,0.006,0.066
3.45,0.284,0.016,-0.058
3.50,0.286,0.001,-0.172
3.55,0.284,-0.014,-0.071
3.60,0.284,-0.006,0.045
3.65,0.283,-0.002,0.038
3.70,0.284,-0.002,0.004
3.75,0.283,-0.004,0.002
3.80,0.283,-0.002,0.019
3.85,0.283,-0.001,0.016
3.90,0.283,-0.001,0.008
3.95,0.283,0.000,0.006
4.00,0.283,-0.001,0.014
4.05,0.283,0.001,0.018
4.10,0.283,0.003,-0.020
4.15,0.284,-0.001,-0.066
4.20,0.283,-0.004,-0.100
4.25,0.283,-0.008,-0.159
4.30,0.283,-0.025,-0.127
4.35,0.280,-0.028,0.041
4.40,0.279,-0.015,0.140
4.45,0.280,-0.016,0.267
4.50,0.276,0.008,0.406
4.55,0.280,0.043,0.219
4.60,0.283,0.035,-0.060
4.65,0.283,0.020,-0.071
4.70,0.284,0.026,-0.012
4.75,0.286,0.026,-0.047
4.80,0.287,0.017,-0.039
4.85,0.287,0.022,-0.037
4.90,0.289,0.018,-0.105
4.95,0.290,0.009,-0.128
5.00,0.290,0.003,-0.124
