"Time","Position","Velocity","Acceleration"
0.05,0.188,0.176,-2.593
0.10,0.206,0.011,-1.606
0.15,0.188,-0.065,-0.125
0.20,0.188,0.052,0.489
0.25,0.202,0.027,0.298
0.30,0.188,0.055,0.367
0.35,0.206,0.103,-0.227
0.40,0.206,0.026,-0.635
0.45,0.205,-0.005,-0.294
0.50,0.202,0.001,0.025
0.55,0.205,0.017,0.039
0.60,0.206,0.008,-0.052
0.65,0.206,0.004,-0.022
0.70,0.206,0.004,0.056
0.75,0.206,0.009,0.129
0.80,0.206,0.023,0.071
0.85,0.209,0.023,-0.101
0.90,0.209,0.007,-0.187
0.95,0.209,-0.001,-0.178
1.00,0.209,-0.009,-0.167
1.05,0.209,-0.022,-0.066
1.10,0.206,-0.020,0.119
1.15,0.206,-0.004,0.194
1.20,0.206,0.004,0.170
1.25,0.206,0.017,0.059
1.30,0.209,0.008,-0.030
1.35,0.206,0.008,-0.017
1.40,0.209,0.014,-0.154
1.45,0.209,-0.003,-0.406
1.50,0.209,-0.026,-0.743
1.55,0.206,-0.063,-1.184
1.60,0.206,-0.151,-1.176
1.65,0.197,-0.294,0.807
1.70,0.159,-0.119,3.349
1.75,0.173,0.242,2.355
1.80,0.206,0.228,-0.547
1.85,0.209,-0.004,-0.388
1.90,0.184,0.087,1.512
1.95,0.209,0.317,0.721
2.00,0.235,0.230,-1.349
2.05,0.235,0.072,-1.670
2.10,0.236,0.012,-0.926
2.15,0.235,-0.002,-0.306
2.20,0.235,0.000,-0.050
2.25,0.235,0.000,-0.001
2.30,0.235,0.001,0.007
2.35,0.235,0.001,0.008
2.40,0.235,0.002,-0.003
2.45,0.236,0.001,-0.039
2.50,0.236,0.001,-0.169
2.55,0.236,-0.009,-0.370
2.60,0.236,-0.033,-0.556
2.65,0.235,-0.108,0.015
2.70,0.217,-0.035,0.698
2.75,0.235,-0.002,0.720
2.80,0.216,0.031,0.706
2.85,0.235,0.103,0.048
2.90,0.235,0.032,-0.506
2.95,0.235,0.011,-0.341
3.00,0.235,0.003,-0.199
3.05,0.236,0.002,-0.224
3.10,0.235,-0.012,-0.382
3.15,0.235,-0.033,-0.559
3.20,0.235,-0.105,-0.148
3.25,0.217,-0.041,0.184
3.30,0.235,-0.042,-0.174
3.35,0.216,-0.103,0.171
3.40,0.217,-0.030,0.566
3.45,0.216,-0.010,0.380
3.50,0.217,-0.001,0.346
3.55,0.216,0.009,0.559
3.60,0.216,0.043,0.902
3.65,0.216,0.138,0.501
3.70,0.235,0.137,-0.697
3.75,0.235,0.032,-1.235
3.80,0.236,-0.020,-1.046
3.85,0.235,-0.105,-0.169
3.90,0.217,-0.032,0.645
3.95,0.235,0.000,0.645
4.00,0.217,0.031,0.479
4.05,0.235,0.092,-0.492
4.10,0.235,-0.013,-1.414
4.15,0.235,-0.128,-0.892
4.20,0.216,-0.141,0.451
4.25,0.217,-0.052,1.322
4.30,0.213,0.012,1.595
4.35,0.213,0.148,0.985
4.40,0.235,0.157,-0.434
4.45,0.235,0.053,-0.942
4.50,0.235,0.019,-0.622
4.55,0.236,0.005,-0.438
4.60,0.236,-0.011,-0.420
4.65,0.236,-0.035,-0.389
4.70,0.235,-0.095,0.359
4.75,0.217,-0.001,1.070
4.80,0.235,0.093,0.374
4.85,0.235,0.033,-0.340
4.90,0.235,0.014,-0.317
4.95,0.236,0.001,-0.223
5.00,0.235,0.000,-0.094
