"Time","Position","Velocity","Acceleration"
0.05,0.284,-0.001,0.049
0.10,0.284,0.002,0.033
0.15,0.284,0.004,0.007
0.20,0.285,0.003,-0.021
0.25,0.285,0.000,-0.014
0.30,0.284,0.001,0.005
0.35,0.285,0.003,-0.006
0.40,0.285,0.001,-0.023
0.45,0.285,-0.001,-0.023
0.50,0.285,-0.003,-0.002
0.55,0.284,-0.002,0.030
0.60,0.284,0.003,0.000
0.65,0.285,0.003,-0.114
0.70,0.285,-0.009,-0.185
0.75,0.284,-0.026,-0.059
0.80,0.282,-0.022,0.190
0.85,0.281,-0.001,0.340
0.90,0.281,0.023,0.281
0.95,0.284,0.031,0.108
1.00,0.285,0.031,-0.044
1.05,0.288,0.027,-0.198
1.10,0.288,0.009,-0.347
1.15,0.288,-0.001,-0.760
1.20,0.288,-0.032,-1.887
1.25,0.288,-0.144,-3.629
1.30,0.285,-0.452,-4.010
1.35,0.241,-0.701,-1.258
1.40,0.199,-0.650,3.286
1.45,0.168,-0.350,7.307
1.50,0.157,0.111,9.646
1.55,0.154,0.924,5.855
1.60,0.291,0.977,-2.859
1.65,0.291,0.311,-5.887
1.70,0.291,0.106,-3.476
1.75,0.295,0.034,-1.439
1.80,0.295,0.024,-0.422
1.85,0.297,0.016,-0.184
1.90,0.297,0.009,-0.117
1.95,0.297,0.005,-0.095
2.00,0.297,-0.002,-0.058
2.05,0.297,-0.001,-0.010
2.10,0.297,0.000,-0.021
2.15,0.297,-0.002,-0.049
2.20,0.297,-0.006,-0.045
2.25,0.297,-0.013,0.060
2.30,0.295,0.001,0.132
2.35,0.297,0.013,-0.018
2.40,0.297,0.001,-0.199
2.45,0.298,-0.019,-0.166
2.50,0.295,-0.024,0.038
2.55,0.294,-0.010,0.160
2.60,0.294,0.000,0.146
2.65,0.294,0.004,0.130
2.70,0.294,0.009,0.153
2.75,0.295,0.024,0.084
2.80,0.297,0.024,-0.100
2.85,0.298,0.007,-0.159
2.90,0.297,0.000,-0.075
2.95,0.298,0.003,-0.031
3.00,0.298,0.002,-0.065
3.05,0.298,-0.003,-0.119
3.10,0.298,-0.011,-0.149
3.15,0.297,-0.025,-0.044
3.20,0.294,-0.021,0.163
3.25,0.294,-0.003,0.259
3.30,0.294,0.015,0.160
3.35,0.296,0.019,-0.049
3.40,0.297,0.005,-0.155
3.45,0.297,-0.009,-0.043
3.50,0.295,0.000,0.074
3.55,0.297,0.011,-0.012
3.60,0.297,-0.001,-0.088
3.65,0.297,-0.011,0.045
3.70,0.295,0.005,0.140
3.75,0.298,0.017,0.008
3.80,0.298,0.003,-0.066
3.85,0.297,-0.002,0.059
3.90,0.296,0.010,0.149
3.95,0.298,0.026,0.000
4.00,0.301,0.016,-0.243
4.05,0.301,-0.012,-0.238
4.10,0.298,-0.018,-0.040
4.15,0.298,-0.009,0.043
4.20,0.298,-0.005,-0.030
4.25,0.298,-0.011,-0.113
4.30,0.297,-0.024,-0.058
4.35,0.295,-0.022,0.080
4.40,0.294,-0.011,0.125
4.45,0.294,-0.005,0.094
4.50,0.294,-0.002,0.054
4.55,0.294,-0.002,0.039
4.60,0.294,0.003,0.016
4.65,0.294,0.002,-0.035
4.70,0.294,-0.003,-0.036
4.75,0.294,-0.004,0.002
4.80,0.294,-0.002,0.032
4.85,0.293,0.001,0.038
4.90,0.294,0.002,0.029
4.95,0.294,0.003,0.027
5.00,0.294,0.005,0.030
