"Time","Position","Velocity","Acceleration"
0.05,0.210,0.044,-0.405
0.10,0.213,0.023,-0.361
0.15,0.213,0.004,-0.266
0.20,0.213,-0.012,-0.049
0.25,0.210,0.001,0.132
0.30,0.213,0.016,0.044
0.35,0.213,0.006,-0.077
0.40,0.213,0.002,-0.095
0.45,0.213,-0.002,-0.131
0.50,0.213,-0.010,-0.165
0.55,0.213,-0.025,-0.082
0.60,0.210,-0.024,0.097
0.65,0.210,-0.008,0.153
0.70,0.210,-0.003,0.095
0.75,0.210,0.000,0.039
0.80,0.210,0.001,-0.004
0.85,0.210,-0.002,-0.016
0.90,0.209,-0.003,0.012
0.95,0.209,0.001,0.014
1.00,0.210,0.002,-0.081
1.05,0.210,-0.002,-0.352
1.10,0.210,-0.018,-0.953
1.15,0.209,-0.080,-1.694
1.20,0.206,-0.216,-1.605
1.25,0.189,-0.359,0.887
1.30,0.156,-0.194,4.502
1.35,0.161,0.153,6.447
1.40,0.159,0.685,3.861
1.45,0.257,0.708,-1.810
1.50,0.254,0.274,-3.559
1.55,0.261,0.194,-2.208
1.60,0.273,0.125,-1.529
1.65,0.277,0.054,-1.034
1.70,0.277,0.012,-0.556
1.75,0.276,0.003,-0.176
1.80,0.277,0.006,-0.031
1.85,0.277,0.006,-0.026
1.90,0.277,0.003,-0.041
1.95,0.277,0.001,-0.047
2.00,0.277,-0.002,-0.044
2.05,0.277,-0.004,-0.031
2.10,0.277,-0.005,-0.037
2.15,0.277,-0.005,-0.101
2.20,0.277,-0.010,-0.258
2.25,0.276,-0.032,-0.393
2.30,0.273,-0.051,-0.434
2.35,0.273,-0.092,-0.151
2.40,0.261,-0.083,0.414
2.45,0.262,-0.027,0.550
2.50,0.261,-0.008,0.283
2.55,0.262,-0.002,0.027
2.60,0.261,-0.009,-0.136
2.65,0.261,-0.026,-0.065
2.70,0.258,-0.025,0.175
2.75,0.258,-0.002,0.286
2.80,0.258,0.018,0.155
2.85,0.261,0.007,0.155
2.90,0.258,0.015,0.460
2.95,0.261,0.054,0.692
3.00,0.261,0.117,0.326
3.05,0.276,0.112,-0.489
3.10,0.277,0.035,-0.726
3.15,0.277,0.011,-0.415
3.20,0.277,0.003,-0.181
3.25,0.277,0.000,-0.076
3.30,0.277,-0.004,-0.036
3.35,0.276,-0.004,-0.001
3.40,0.277,-0.003,0.013
3.45,0.276,-0.003,0.030
3.50,0.276,0.000,0.042
3.55,0.276,0.003,0.022
3.60,0.277,0.003,-0.014
3.65,0.277,0.002,-0.068
3.70,0.277,-0.003,-0.131
3.75,0.276,-0.012,-0.144
3.80,0.276,-0.025,-0.020
3.85,0.273,-0.019,0.182
3.90,0.273,0.009,0.113
3.95,0.276,-0.002,-0.061
4.00,0.273,-0.016,0.071
4.05,0.273,0.002,0.255
4.10,0.273,0.026,0.169
4.15,0.277,0.028,-0.085
4.20,0.277,0.008,-0.186
4.25,0.277,0.000,-0.119
4.30,0.277,-0.004,-0.030
4.35,0.276,-0.001,0.034
4.40,0.276,0.004,0.018
4.45,0.277,0.003,-0.060
4.50,0.277,-0.003,-0.130
4.55,0.277,-0.011,-0.149
4.60,0.276,-0.025,-0.028
4.65,0.273,-0.021,0.213
4.70,0.273,0.010,0.221
4.75,0.276,0.008,0.076
4.80,0.273,0.010,0.017
4.85,0.276,0.017,-0.157
4.90,0.276,-0.004,-0.350
4.95,0.276,-0.026,-0.426
5.00,0.273,-0.049,-0.461
