"Time","Position","Velocity","Acceleration"
0.05,0.226,-0.250,1.980
0.10,0.209,-0.144,1.737
0.15,0.209,-0.054,1.287
0.20,0.206,-0.009,0.733
0.25,0.209,0.015,0.245
0.30,0.209,0.006,-0.028
0.35,0.209,0.000,-0.042
0.40,0.209,0.001,-0.005
0.45,0.209,0.002,-0.004
0.50,0.209,0.001,-0.020
0.55,0.209,-0.001,-0.023
0.60,0.209,-0.001,-0.036
0.65,0.209,-0.004,-0.050
0.70,0.209,-0.007,-0.039
0.75,0.209,-0.014,0.077
0.80,0.206,0.002,0.166
0.85,0.209,0.015,0.034
0.90,0.209,0.004,-0.082
0.95,0.209,0.000,-0.074
1.00,0.209,-0.003,-0.059
1.05,0.209,-0.005,-0.054
1.10,0.209,-0.014,0.034
1.15,0.206,-0.001,0.117
1.20,0.209,0.011,-0.020
1.25,0.209,-0.010,-0.051
1.30,0.206,-0.002,0.043
1.35,0.209,0.000,0.037
1.40,0.206,0.001,0.043
1.45,0.209,0.010,-0.043
1.50,0.209,-0.009,-0.065
1.55,0.206,0.004,-0.203
1.60,0.209,0.003,-0.939
1.65,0.209,-0.066,-1.848
1.70,0.209,-0.239,-1.380
1.75,0.185,-0.354,1.723
1.80,0.153,-0.081,4.584
1.85,0.164,0.363,2.696
1.90,0.213,0.391,-2.449
1.95,0.239,-0.162,-2.764
2.00,0.166,-0.211,2.453
2.05,0.181,0.356,3.271
2.10,0.235,0.386,-0.664
2.15,0.235,0.130,-2.400
2.20,0.235,0.022,-1.805
2.25,0.236,-0.031,-0.965
2.30,0.235,-0.095,0.217
2.35,0.217,0.000,1.044
2.40,0.235,0.094,0.356
2.45,0.235,0.032,-0.365
2.50,0.236,0.011,-0.330
2.55,0.236,-0.002,-0.171
2.60,0.235,-0.002,-0.024
2.65,0.235,0.000,0.013
2.70,0.235,0.001,0.006
2.75,0.236,0.001,-0.002
2.80,0.235,0.000,0.004
2.85,0.235,0.001,0.003
2.90,0.236,0.001,-0.007
2.95,0.236,0.000,-0.013
3.00,0.236,0.000,-0.017
3.05,0.236,-0.001,-0.019
3.10,0.235,-0.003,-0.007
3.15,0.235,-0.003,0.016
3.20,0.235,-0.001,0.031
3.25,0.235,0.001,0.024
3.30,0.235,0.002,0.004
3.35,0.235,0.002,-0.021
3.40,0.236,0.000,-0.036
3.45,0.236,-0.004,-0.013
3.50,0.235,-0.002,0.024
3.55,0.235,0.001,0.023
3.60,0.235,0.001,0.009
3.65,0.235,0.001,0.003
3.70,0.235,0.002,-0.008
3.75,0.236,0.000,-0.004
3.80,0.235,0.001,0.003
3.85,0.236,0.002,-0.018
3.90,0.236,-0.002,-0.019
3.95,0.235,-0.002,0.014
4.00,0.235,0.001,0.025
4.05,0.235,0.002,0.012
4.10,0.236,0.002,-0.003
4.15,0.236,0.001,-0.019
4.20,0.236,0.000,-0.028
4.25,0.236,-0.002,-0.019
4.30,0.235,-0.003,0.006
4.35,0.235,-0.001,0.014
4.40,0.235,-0.001,0.010
4.45,0.235,-0.001,0.018
4.50,0.235,0.001,0.023
4.55,0.235,0.003,0.006
4.60,0.236,0.002,-0.018
4.65,0.236,0.000,-0.021
4.70,0.235,-0.001,0.004
4.75,0.235,0.001,0.013
4.80,0.236,0.001,-0.001
4.85,0.236,0.000,-0.009
4.90,0.236,0.000,-0.005
4.95,0.236,0.000,0.000
5.00,0.236,0.000,0.003
