"Time","Position","Velocity","Acceleration"
0.05,0.206,0.014,-0.031
0.10,0.206,0.018,-0.115
0.15,0.209,0.004,-0.168
0.20,0.206,-0.010,-0.050
0.25,0.206,0.005,-0.027
0.30,0.209,-0.007,-0.088
0.35,0.205,-0.015,0.027
0.40,0.206,-0.003,0.118
0.45,0.206,0.002,0.133
0.50,0.206,0.009,0.151
0.55,0.206,0.023,0.048
0.60,0.209,0.021,-0.175
0.65,0.209,0.000,-0.294
0.70,0.209,-0.021,-0.182
0.75,0.206,-0.025,0.058
0.80,0.205,-0.006,0.148
0.85,0.206,-0.001,0.068
0.90,0.206,-0.002,0.014
0.95,0.206,-0.002,0.006
1.00,0.205,-0.002,0.020
1.05,0.206,0.000,0.043
1.10,0.205,0.002,0.065
1.15,0.206,0.006,0.051
1.20,0.206,0.016,-0.111
1.25,0.209,-0.003,-0.269
1.30,0.206,-0.034,-0.026
1.35,0.202,-0.008,0.254
1.40,0.206,0.015,0.141
1.45,0.206,0.007,-0.023
1.50,0.206,0.004,-0.060
1.55,0.206,0.000,-0.043
1.60,0.206,-0.001,0.006
1.65,0.206,0.000,0.051
1.70,0.206,0.004,0.080
1.75,0.206,0.016,-0.023
1.80,0.209,0.003,-0.194
1.85,0.206,-0.010,-0.381
1.90,0.206,-0.007,-1.065
1.95,0.209,-0.085,-2.018
2.00,0.206,-0.290,-1.206
2.05,0.174,-0.350,2.126
2.10,0.151,-0.060,4.889
2.15,0.160,0.370,3.474
2.20,0.213,0.389,0.038
2.25,0.209,0.196,-0.639
2.30,0.213,0.287,-0.462
2.35,0.246,0.247,-1.570
2.40,0.246,0.076,-1.742
2.45,0.246,0.017,-0.963
2.50,0.246,-0.003,-0.342
2.55,0.246,0.000,-0.047
2.60,0.246,0.001,0.001
2.65,0.246,0.002,-0.007
2.70,0.246,0.000,-0.022
2.75,0.246,-0.002,-0.019
2.80,0.246,-0.002,-0.011
2.85,0.246,-0.002,-0.024
2.90,0.246,-0.003,-0.047
2.95,0.246,-0.006,-0.051
3.00,0.246,-0.016,0.069
3.05,0.242,0.000,0.186
3.10,0.246,0.017,0.063
3.15,0.246,0.006,-0.068
3.20,0.246,0.001,-0.055
3.25,0.246,0.000,-0.010
3.30,0.246,0.002,0.012
3.35,0.246,0.002,0.003
3.40,0.246,0.002,-0.015
3.45,0.246,0.001,-0.031
3.50,0.246,-0.002,-0.020
3.55,0.246,-0.002,0.008
3.60,0.246,0.000,0.014
3.65,0.246,0.000,0.007
3.70,0.246,0.000,0.007
3.75,0.246,0.001,0.003
3.80,0.246,0.001,-0.011
3.85,0.246,0.000,-0.023
3.90,0.246,-0.002,-0.016
3.95,0.246,-0.002,-0.018
4.00,0.246,-0.002,-0.051
4.05,0.246,-0.006,-0.094
4.10,0.246,-0.018,-0.037
4.15,0.243,-0.009,0.025
4.20,0.245,-0.009,-0.007
4.25,0.242,-0.017,0.078
4.30,0.242,-0.003,0.179
4.35,0.242,0.005,0.205
4.40,0.242,0.023,0.122
4.45,0.246,0.024,-0.080
4.50,0.246,0.008,-0.162
4.55,0.246,0.001,-0.106
4.60,0.246,-0.003,-0.021
4.65,0.245,0.000,0.030
4.70,0.246,0.003,0.017
4.75,0.246,0.003,-0.025
4.80,0.246,0.001,-0.073
4.85,0.246,-0.004,-0.123
4.90,0.246,-0.010,-0.204
4.95,0.245,-0.025,-0.279
5.00,0.243,-0.042,-0.317
