"Time","Position","Velocity","Acceleration"
0.05,0.213,0.332,-2.559
0.10,0.236,0.193,-2.154
0.15,0.236,0.079,-1.437
0.20,0.239,0.044,-0.657
0.25,0.239,0.034,-0.209
0.30,0.243,0.034,-0.029
0.35,0.243,0.028,0.085
0.40,0.243,0.058,-0.100
0.45,0.251,0.042,-0.659
0.50,0.251,-0.040,-0.637
0.55,0.243,-0.055,-0.018
0.60,0.243,-0.020,0.253
0.65,0.243,-0.008,0.116
0.70,0.243,-0.009,-0.066
0.75,0.243,-0.024,-0.087
0.80,0.240,-0.027,0.074
0.85,0.239,-0.011,0.159
0.90,0.239,-0.004,0.103
0.95,0.239,-0.001,-0.017
1.00,0.239,0.001,-0.359
1.05,0.239,-0.017,-1.081
1.10,0.239,-0.079,-2.196
1.15,0.239,-0.280,-2.365
1.20,0.207,-0.397,-0.785
1.25,0.195,-0.400,1.714
1.30,0.159,-0.242,4.444
1.35,0.160,0.144,5.115
1.40,0.185,0.343,3.902
1.45,0.188,0.603,1.156
1.50,0.261,0.534,-2.732
1.55,0.258,0.163,-3.507
1.60,0.261,0.064,-1.934
1.65,0.261,0.022,-0.899
1.70,0.264,0.003,-0.396
1.75,0.262,-0.015,-0.119
1.80,0.261,-0.006,0.069
1.85,0.261,0.000,0.094
1.90,0.261,0.004,0.074
1.95,0.262,0.007,0.037
2.00,0.262,0.013,-0.073
2.05,0.264,-0.001,-0.150
2.10,0.261,-0.014,-0.036
2.15,0.261,-0.004,0.061
2.20,0.261,0.000,0.030
2.25,0.262,0.000,-0.024
2.30,0.262,-0.005,-0.032
2.35,0.261,-0.005,-0.007
2.40,0.261,-0.002,-0.046
2.45,0.261,-0.006,-0.130
2.50,0.261,-0.023,-0.079
2.55,0.258,-0.023,0.127
2.60,0.258,-0.004,0.241
2.65,0.258,0.007,0.233
2.70,0.258,0.023,0.120
2.75,0.261,0.023,-0.074
2.80,0.261,0.008,-0.131
2.85,0.261,0.005,-0.091
2.90,0.262,0.002,-0.072
2.95,0.261,-0.002,-0.040
3.00,0.261,-0.003,-0.002
3.05,0.261,-0.002,0.031
3.10,0.261,0.001,0.043
3.15,0.261,0.003,0.036
3.20,0.261,0.003,0.046
3.25,0.261,0.007,0.042
3.30,0.262,0.014,-0.069
3.35,0.264,0.000,-0.165
3.40,0.262,-0.014,-0.066
3.45,0.261,-0.006,0.043
3.50,0.261,-0.003,0.048
3.55,0.261,-0.001,0.042
3.60,0.261,0.000,0.062
3.65,0.261,0.003,0.103
3.70,0.261,0.010,0.125
3.75,0.262,0.021,0.045
3.80,0.264,0.019,-0.103
3.85,0.264,0.005,-0.135
3.90,0.264,0.000,-0.061
3.95,0.264,0.000,-0.001
4.00,0.264,0.002,0.012
4.05,0.264,0.002,0.009
4.10,0.264,0.003,0.010
4.15,0.265,0.004,-0.014
4.20,0.265,0.002,-0.050
4.25,0.265,-0.003,-0.053
4.30,0.265,-0.005,-0.016
4.35,0.264,-0.004,0.024
4.40,0.264,-0.001,0.039
4.45,0.264,0.001,0.030
4.50,0.264,0.002,0.011
4.55,0.264,0.002,-0.010
4.60,0.264,0.000,-0.014
4.65,0.264,-0.001,0.012
4.70,0.264,0.001,0.032
4.75,0.264,0.004,0.013
4.80,0.265,0.004,-0.032
4.85,0.265,0.000,-0.048
4.90,0.265,-0.003,-0.022
4.95,0.265,-0.002,0.000
5.00,0.264,-0.002,0.010
