"Time","Position","Velocity","Acceleration"
0.05,0.258,0.045,-0.353
0.10,0.261,0.026,-0.298
0.15,0.261,0.009,-0.184
0.20,0.261,0.006,-0.045
0.25,0.261,0.006,0.062
0.30,0.261,0.018,0.038
0.35,0.264,0.018,-0.134
0.40,0.264,0.002,-0.245
0.45,0.264,-0.017,-0.162
0.50,0.261,-0.020,0.030
0.55,0.261,-0.007,0.110
0.60,0.261,-0.003,0.072
0.65,0.261,-0.001,0.031
0.70,0.261,-0.001,0.003
0.75,0.261,-0.002,-0.006
0.80,0.261,-0.001,-0.053
0.85,0.261,0.001,-0.339
0.90,0.261,-0.016,-1.028
0.95,0.261,-0.073,-2.179
1.00,0.261,-0.262,-2.697
1.05,0.232,-0.405,-1.746
1.10,0.218,-0.492,0.771
1.15,0.180,-0.438,5.121
1.20,0.154,0.009,8.721
1.25,0.158,0.802,5.406
1.30,0.277,0.824,-2.768
1.35,0.276,0.182,-5.137
1.40,0.262,0.043,-2.404
1.45,0.273,0.054,-0.811
1.50,0.273,0.032,-0.411
1.55,0.276,0.007,-0.270
1.60,0.273,-0.007,-0.018
1.65,0.273,0.017,0.026
1.70,0.276,0.014,-0.233
1.75,0.276,-0.018,-0.327
1.80,0.273,-0.030,-0.234
1.85,0.272,-0.029,-0.284
1.90,0.273,-0.064,-0.193
1.95,0.265,-0.075,0.347
2.00,0.262,-0.025,0.763
2.05,0.262,0.040,0.463
2.10,0.269,0.042,-0.209
2.15,0.269,-0.012,-0.325
2.20,0.265,-0.020,0.091
2.25,0.265,0.005,0.388
2.30,0.265,0.046,0.200
2.35,0.272,0.035,-0.209
2.40,0.269,0.009,-0.357
2.45,0.273,-0.007,-0.349
2.50,0.269,-0.030,-0.211
2.55,0.269,-0.033,0.033
2.60,0.265,-0.028,0.291
2.65,0.265,0.001,0.438
2.70,0.265,0.029,0.327
2.75,0.269,0.038,0.110
2.80,0.269,0.037,-0.068
2.85,0.273,0.030,-0.210
2.90,0.273,0.010,-0.215
2.95,0.273,0.003,-0.109
3.00,0.273,0.000,-0.013
3.05,0.273,0.003,0.057
3.10,0.273,0.007,0.072
3.15,0.273,0.018,-0.097
3.20,0.276,0.010,-0.478
3.25,0.276,-0.036,-0.681
3.30,0.273,-0.086,-0.347
3.35,0.265,-0.088,0.352
3.40,0.262,-0.040,0.878
3.45,0.261,0.013,1.061
3.50,0.261,0.090,0.709
3.55,0.273,0.111,-0.148
3.60,0.277,0.054,-0.630
3.65,0.277,0.016,-0.500
3.70,0.277,0.001,-0.229
3.75,0.277,-0.001,-0.043
3.80,0.277,0.003,0.014
3.85,0.277,0.004,0.003
3.90,0.277,0.002,0.000
3.95,0.277,0.003,0.003
4.00,0.277,0.004,-0.019
4.05,0.278,0.001,-0.035
4.10,0.277,-0.001,-0.029
4.15,0.277,-0.002,-0.026
4.20,0.277,-0.004,-0.011
4.25,0.277,-0.003,0.015
4.30,0.277,-0.001,0.013
4.35,0.277,-0.002,0.002
4.40,0.277,-0.002,0.009
4.45,0.277,-0.001,0.015
4.50,0.277,-0.001,0.025
4.55,0.277,0.002,0.036
4.60,0.277,0.005,0.014
4.65,0.277,0.004,-0.022
4.70,0.277,0.001,-0.026
4.75,0.277,0.001,-0.020
4.80,0.277,-0.001,-0.022
4.85,0.277,-0.002,-0.014
4.90,0.277,-0.001,-0.017
4.95,0.277,-0.003,-0.035
5.00,0.277,-0.006,-0.047
