"Time","Position","Velocity","Acceleration"
0.05,0.206,0.052,-0.501
0.10,0.210,0.027,-0.480
0.15,0.210,0.001,-0.389
0.20,0.210,-0.022,-0.136
0.25,0.207,-0.018,0.177
0.30,0.207,0.013,0.159
0.35,0.210,0.014,-0.141
0.40,0.210,-0.016,-0.196
0.45,0.207,-0.020,0.009
0.50,0.207,-0.007,0.103
0.55,0.207,-0.003,0.061
0.60,0.207,-0.002,0.025
0.65,0.206,-0.002,0.023
0.70,0.206,-0.001,0.048
0.75,0.206,0.001,0.104
0.80,0.206,0.009,0.159
0.85,0.207,0.025,0.074
0.90,0.210,0.022,-0.112
0.95,0.209,0.006,-0.173
1.00,0.209,0.001,-0.158
1.05,0.210,-0.006,-0.186
1.10,0.210,-0.021,-0.207
1.15,0.206,-0.024,-0.404
1.20,0.206,-0.025,-1.208
1.25,0.210,-0.133,-1.988
1.30,0.198,-0.308,-1.077
1.35,0.171,-0.333,1.687
1.40,0.154,-0.125,4.084
1.45,0.156,0.137,4.825
1.50,0.156,0.550,2.065
1.55,0.243,0.415,-1.890
1.60,0.210,0.063,-0.911
1.65,0.211,0.317,0.401
1.70,0.257,0.315,-1.530
1.75,0.258,0.081,-2.217
1.80,0.254,-0.002,-1.331
1.85,0.254,-0.023,-0.599
1.90,0.254,-0.053,0.009
1.95,0.247,-0.037,0.686
2.00,0.247,0.046,0.756
2.05,0.254,0.078,0.113
2.10,0.258,0.047,-0.382
2.15,0.258,0.011,-0.342
2.20,0.258,-0.001,0.065
2.25,0.258,0.013,0.584
2.30,0.258,0.051,1.033
2.35,0.258,0.165,0.462
2.40,0.280,0.165,-1.254
2.45,0.284,0.002,-2.196
2.50,0.280,-0.158,-1.224
2.55,0.258,-0.148,0.384
2.60,0.261,-0.053,0.876
2.65,0.258,-0.030,0.677
2.70,0.258,0.003,0.533
2.75,0.258,0.027,0.359
2.80,0.262,0.037,0.204
2.85,0.262,0.037,0.169
2.90,0.262,0.087,-0.305
2.95,0.280,-0.007,-0.465
3.00,0.258,-0.048,0.771
3.05,0.262,0.127,0.970
3.10,0.280,0.148,-0.556
3.15,0.284,0.033,-1.528
3.20,0.280,-0.052,-1.543
3.25,0.280,-0.150,-0.802
3.30,0.261,-0.162,0.474
3.35,0.258,-0.065,1.032
3.40,0.258,-0.015,0.726
3.45,0.258,0.004,0.340
3.50,0.258,0.016,-0.007
3.55,0.261,-0.002,-0.188
3.60,0.258,-0.019,-0.057
3.65,0.258,-0.007,0.088
3.70,0.258,-0.001,0.081
3.75,0.258,0.002,0.033
3.80,0.258,0.002,-0.010
3.85,0.258,-0.001,-0.023
3.90,0.258,-0.002,-0.007
3.95,0.258,-0.002,0.040
4.00,0.257,0.000,0.121
4.05,0.258,0.011,0.151
4.10,0.258,0.025,-0.009
4.15,0.261,0.017,-0.278
4.20,0.261,-0.018,-0.273
4.25,0.258,-0.024,-0.027
4.30,0.258,-0.010,0.067
4.35,0.258,-0.008,0.022
4.40,0.258,-0.017,0.100
4.45,0.254,0.000,0.198
4.50,0.258,0.017,0.063
4.55,0.258,0.006,-0.077
4.60,0.258,0.001,-0.094
4.65,0.258,-0.003,-0.111
4.70,0.258,-0.007,-0.150
4.75,0.258,-0.022,-0.121
4.80,0.255,-0.024,-0.029
4.85,0.254,-0.016,-0.106
4.90,0.254,-0.023,-0.388
4.95,0.254,-0.058,-0.637
5.00,0.247,-0.100,-0.775
