"Time","Position","Velocity","Acceleration"
0.05,0.185,0.278,-2.036
0.10,0.203,0.174,-1.849
0.15,0.206,0.068,-1.382
0.20,0.206,0.020,-0.674
0.25,0.206,0.011,-0.132
0.30,0.206,0.026,0.035
0.35,0.210,0.026,-0.064
0.40,0.210,0.013,-0.104
0.45,0.210,0.017,-0.158
0.50,0.213,-0.001,-0.205
0.55,0.210,-0.015,-0.056
0.60,0.210,-0.005,0.053
0.65,0.210,-0.002,0.035
0.70,0.210,-0.002,0.015
0.75,0.209,-0.002,0.012
0.80,0.209,-0.001,0.004
0.85,0.209,0.000,-0.062
0.90,0.209,-0.001,-0.303
0.95,0.209,-0.019,-0.711
1.00,0.210,-0.066,-1.163
1.05,0.207,-0.185,-0.765
1.10,0.181,-0.137,-0.269
1.15,0.200,-0.191,0.100
1.20,0.162,-0.225,2.186
1.25,0.163,0.028,4.042
1.30,0.166,0.267,3.996
1.35,0.184,0.569,1.229
1.40,0.246,0.437,-2.400
1.45,0.236,0.150,-2.812
1.50,0.247,0.088,-1.701
1.55,0.246,0.018,-0.934
1.60,0.247,0.004,-0.376
1.65,0.246,-0.007,-0.143
1.70,0.246,-0.015,0.139
1.75,0.243,0.006,0.383
1.80,0.247,0.034,0.382
1.85,0.247,0.058,0.107
1.90,0.254,0.053,-0.332
1.95,0.254,0.012,-0.549
2.00,0.254,-0.011,-0.540
2.05,0.254,-0.051,-0.310
2.10,0.247,-0.055,0.152
2.15,0.246,-0.021,0.341
2.20,0.246,-0.005,0.226
2.25,0.246,0.000,0.096
2.30,0.246,0.001,0.030
2.35,0.246,0.000,0.051
2.40,0.246,0.003,0.118
2.45,0.246,0.011,0.158
2.50,0.246,0.037,-0.103
2.55,0.253,0.002,-0.345
2.60,0.246,-0.031,-0.030
2.65,0.246,-0.001,0.266
2.70,0.246,0.032,-0.042
2.75,0.254,-0.001,-0.434
2.80,0.246,-0.043,-0.281
2.85,0.246,-0.037,0.053
2.90,0.243,-0.028,0.246
2.95,0.243,-0.006,0.301
3.00,0.243,0.005,0.257
3.05,0.243,0.023,0.139
3.10,0.246,0.024,-0.065
3.15,0.246,0.010,-0.148
3.20,0.247,0.002,-0.086
3.25,0.246,0.000,0.040
3.30,0.246,0.007,0.137
3.35,0.247,0.014,0.189
3.40,0.247,0.041,-0.032
3.45,0.254,0.011,-0.272
3.50,0.246,0.000,-0.249
3.55,0.254,-0.012,-0.188
3.60,0.246,-0.037,0.193
3.65,0.246,0.005,0.552
3.70,0.247,0.050,0.337
3.75,0.254,0.052,-0.137
3.80,0.254,0.018,-0.310
3.85,0.254,0.008,-0.201
3.90,0.254,0.001,-0.092
3.95,0.254,0.000,0.003
4.00,0.254,0.001,0.089
4.05,0.254,0.007,0.176
4.10,0.254,0.025,0.131
4.15,0.257,0.027,-0.049
4.20,0.258,0.013,-0.136
4.25,0.257,0.015,-0.212
4.30,0.261,-0.005,-0.301
4.35,0.258,-0.033,-0.099
4.40,0.254,-0.012,0.077
4.45,0.258,-0.010,0.017
4.50,0.254,-0.019,0.081
4.55,0.254,-0.005,0.162
4.60,0.254,0.003,0.135
4.65,0.254,0.016,-0.008
4.70,0.257,0.001,-0.136
4.75,0.254,-0.011,-0.057
4.80,0.254,0.006,-0.125
4.85,0.257,-0.015,-0.261
4.90,0.254,-0.054,0.187
4.95,0.247,-0.009,0.851
5.00,0.254,0.068,1.276
