"Time","Position","Velocity","Acceleration"
0.05,0.188,0.282,-1.876
0.10,0.206,0.185,-1.742
0.15,0.209,0.092,-1.439
0.20,0.213,0.036,-1.033
0.25,0.213,-0.014,-0.550
0.30,0.210,-0.020,-0.074
0.35,0.210,-0.006,0.095
0.40,0.210,-0.001,0.055
0.45,0.210,-0.002,0.027
0.50,0.210,-0.003,0.115
0.55,0.210,0.001,0.437
0.60,0.210,0.026,1.009
0.65,0.210,0.093,1.582
0.70,0.214,0.245,0.963
0.75,0.243,0.248,-0.853
0.80,0.243,0.132,-2.249
0.85,0.254,0.020,-3.251
0.90,0.257,-0.280,-2.484
0.95,0.213,-0.332,0.011
1.00,0.210,-0.158,0.476
1.05,0.210,-0.178,-0.736
1.10,0.202,-0.347,0.183
1.15,0.166,-0.315,3.803
1.20,0.154,0.039,6.946
1.25,0.155,0.637,5.114
1.30,0.242,0.771,-0.909
1.35,0.257,0.407,-4.561
1.40,0.277,0.104,-4.106
1.45,0.261,-0.078,-1.761
1.50,0.258,-0.026,-0.012
1.55,0.261,0.003,0.165
1.60,0.261,-0.010,0.126
1.65,0.258,0.001,0.243
1.70,0.261,0.022,0.217
1.75,0.261,0.025,0.105
1.80,0.261,0.055,-0.357
1.85,0.273,-0.018,-0.654
1.90,0.258,-0.059,-0.109
1.95,0.261,-0.009,0.151
2.00,0.261,-0.025,0.117
2.05,0.258,-0.016,0.328
2.10,0.258,0.016,0.404
2.15,0.261,0.030,0.383
2.20,0.261,0.041,0.473
2.25,0.261,0.104,0.057
2.30,0.276,0.079,-0.866
2.35,0.273,-0.016,-1.141
2.40,0.273,-0.082,-0.517
2.45,0.261,-0.082,0.444
2.50,0.261,-0.011,0.919
2.55,0.262,0.037,0.790
2.60,0.265,0.083,0.293
2.65,0.273,0.070,-0.285
2.70,0.273,0.036,-0.498
2.75,0.276,0.006,-0.411
2.80,0.273,-0.011,-0.216
2.85,0.273,0.003,-0.336
2.90,0.276,-0.029,-0.674
2.95,0.273,-0.101,-0.352
3.00,0.261,-0.090,0.420
3.05,0.261,-0.026,0.635
3.10,0.261,-0.004,0.426
3.15,0.261,0.005,0.304
3.20,0.261,0.018,0.260
3.25,0.261,0.059,-0.198
3.30,0.273,0.002,-0.658
3.35,0.261,-0.058,-0.236
3.40,0.261,-0.022,0.213
3.45,0.261,-0.007,0.168
3.50,0.261,-0.001,0.006
3.55,0.261,-0.009,-0.115
3.60,0.261,-0.024,-0.026
3.65,0.258,-0.018,0.161
3.70,0.258,0.008,0.094
3.75,0.261,-0.003,-0.082
3.80,0.258,-0.015,-0.021
3.85,0.258,-0.005,0.063
3.90,0.258,-0.004,0.085
3.95,0.257,0.000,0.150
4.00,0.257,0.010,0.212
4.05,0.258,0.028,0.184
4.10,0.261,0.031,0.085
4.15,0.261,0.027,0.093
4.20,0.261,0.060,-0.174
4.25,0.273,0.008,-0.360
4.30,0.262,-0.030,0.330
4.35,0.261,0.066,0.564
4.40,0.273,0.082,-0.192
4.45,0.273,0.035,-0.791
4.50,0.276,-0.019,-0.894
4.55,0.273,-0.093,-0.218
4.60,0.262,-0.063,0.757
4.65,0.262,0.046,0.577
4.70,0.273,0.048,-0.534
4.75,0.273,-0.058,-0.805
4.80,0.261,-0.084,-0.124
4.85,0.261,-0.050,0.317
4.90,0.258,-0.031,0.375
4.95,0.258,-0.010,0.311
5.00,0.258,-0.003,0.208
