"Time","Position","Velocity","Acceleration"
0.05,0.209,0.035,-0.541
0.10,0.213,0.003,-0.384
0.15,0.210,-0.016,-0.150
0.20,0.210,-0.008,0.001
0.25,0.209,-0.005,-0.026
0.30,0.209,-0.008,-0.101
0.35,0.209,-0.022,-0.060
0.40,0.206,-0.022,0.118
0.45,0.206,-0.005,0.198
0.50,0.206,0.005,0.087
0.55,0.206,0.019,-0.437
0.60,0.209,-0.010,-1.441
0.65,0.209,-0.116,-2.281
0.70,0.206,-0.340,-0.983
0.75,0.165,-0.350,2.767
0.80,0.154,-0.029,5.599
0.85,0.156,0.404,4.563
0.90,0.206,0.609,0.039
0.95,0.242,0.333,-3.257
1.00,0.235,0.081,-2.783
1.05,0.238,0.027,-1.329
1.10,0.239,-0.002,-0.515
1.15,0.238,-0.014,-0.044
1.20,0.235,0.001,0.158
1.25,0.238,0.017,0.056
1.30,0.239,0.006,-0.067
1.35,0.239,0.002,-0.054
1.40,0.239,0.001,-0.019
1.45,0.239,0.002,-0.004
1.50,0.239,0.002,-0.020
1.55,0.239,-0.001,-0.027
1.60,0.239,-0.001,-0.036
1.65,0.239,-0.002,-0.086
1.70,0.239,-0.008,-0.152
1.75,0.239,-0.025,-0.068
1.80,0.235,-0.024,0.177
1.85,0.235,-0.002,0.320
1.90,0.235,0.021,0.209
1.95,0.238,0.025,-0.038
2.00,0.239,0.010,-0.152
2.05,0.239,0.002,-0.114
2.10,0.239,-0.001,-0.080
2.15,0.239,-0.002,-0.097
2.20,0.239,-0.008,-0.152
2.25,0.239,-0.024,-0.097
2.30,0.235,-0.025,0.084
2.35,0.235,-0.009,0.152
2.40,0.235,-0.003,0.102
2.45,0.235,0.001,0.049
2.50,0.235,0.001,0.003
2.55,0.235,-0.001,0.003
2.60,0.235,0.001,0.014
2.65,0.235,0.002,-0.001
2.70,0.235,0.001,-0.022
2.75,0.235,-0.001,-0.033
2.80,0.235,-0.003,-0.022
2.85,0.235,-0.004,0.009
2.90,0.235,-0.002,0.030
2.95,0.235,0.000,0.029
3.00,0.235,0.001,0.029
3.05,0.235,0.003,0.022
3.10,0.235,0.004,-0.009
3.15,0.235,0.002,-0.042
3.20,0.236,-0.002,-0.044
3.25,0.235,-0.004,-0.015
3.30,0.235,-0.002,-0.004
3.35,0.235,-0.002,-0.026
3.40,0.235,-0.004,-0.047
3.45,0.235,-0.014,0.048
3.50,0.232,-0.001,0.155
3.55,0.235,0.014,0.057
3.60,0.235,0.005,-0.054
3.65,0.235,0.001,-0.052
3.70,0.235,-0.001,-0.023
3.75,0.235,0.000,0.000
3.80,0.235,0.000,0.004
3.85,0.235,0.001,-0.002
3.90,0.235,0.000,-0.011
3.95,0.235,0.000,-0.015
4.00,0.235,-0.002,-0.006
4.05,0.235,-0.002,0.029
4.10,0.235,0.001,0.069
4.15,0.235,0.004,0.108
4.20,0.235,0.010,0.154
4.25,0.235,0.026,0.083
4.30,0.238,0.026,-0.109
4.35,0.239,0.009,-0.195
4.40,0.239,0.000,-0.151
4.45,0.239,-0.005,-0.094
4.50,0.239,-0.015,0.046
4.55,0.235,0.001,0.129
4.60,0.239,0.013,-0.051
4.65,0.239,-0.005,-0.218
4.70,0.238,-0.023,-0.127
4.75,0.235,-0.023,0.086
4.80,0.235,-0.007,0.191
4.85,0.235,0.001,0.205
4.90,0.235,0.009,0.269
4.95,0.235,0.027,0.338
5.00,0.239,0.047,0.379
